name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
PHP Essentials and MySQL basics,Course for developers who want to get necessary knowledge in PHP and MySQL,Coders GUID,5.0,8,8 total hours,46,Intermediate,149000,-
JavaScript in Action create 3 fun JavaScript coding projects,Explore how you can build interactive and dynamic web content using JavaScript to create fun mini projects,Laurence Svekis,5.0,9,1.5 total hours,34,All Levels,149000,-
CSS Friday: Learn Up-to-Date CSS Styling Techniques (2021),Learn the most up-to-date real-world solutions for a wide range of old web design problems!,Rahul Giri,5.0,13,14.5 total hours,57,All Levels,149000,-
PHP Hospital System Using CodeIgniter Framework(2020) Part 2,This is the only course where complete erp software is fully developed using the most simpliest approach for very secure,Olawuyi Segun Orisunola,5.0,20,19 total hours,185,All Levels,149000,Highest rated
Learn Flask by Creating Movie Search Engine,Create a complete web app using Flask Framework (Python),Mustafa Alawi,4.9,3,2.5 total hours,33,Beginner,1099000,-
"PHP for Beginners 2021 Part 5: PHP, PDO, MySQL, jQuery AJAX",This is a short course designed to introduce you to how to use the jQuery AJAX method to populate a dropdown list.,Patrick Morrow,4.9,27,1 total hour,15,Intermediate,149000,Highest rated
"Build Modern Responsive Website With HTML5, CSS3 & Bootstrap","Learn HTML5, CSS3, jQuery, Bootstrap And Build Modern Responsive Website With Modern Trends From Scratch.",Irfan Dayan,4.9,1115,14 total hours,114,All Levels,149000,Highest rated
Fundamentals of CSS,Build a Foundation with CSS You Can Use For Life!,Daniel Stern,4.9,14,2 total hours,29,Beginner,149000,-
"Node.js, Express, MongoDB Bootcamp 2021 - with Real Projects","Master Node, Express & MongoDB by building real-world apps with Authentication, File Uploads, WebScrapping, Deployment..",Ghulam Abbas,4.9,196,14.5 total hours,96,All Levels,149000,-
Create Music Website for Music Artists & Bands in WordPress,"Learn how to create your band website with events, multiple artists and live music and podcasts, sell merchandise & more",Shashank Phatkure,4.9,29,2.5 total hours,40,All Levels,149000,-
The Complete Modern Javascript Course with ES6 (2020),"Learn JavaScript with the most Comprehensive JS course on the market! Covers ES6, OOP, Hoisting, Closures, and more!",Development Island (UK),4.9,209,37 total hours,302,All Levels,149000,-
Real World Web Service Performance,Improve the performance of your new and legacy web services using any programming language or framework!,Darren DeLoach,4.9,9,3 total hours,24,Intermediate,149000,-
HTML Programming For Everyone,Learn To Build Awesome Web Sites Using HTML and the Bootstrap CSS Framework. Web Development With HTML Made Easy!,John Elder,4.9,32,1.5 total hours,21,Beginner,149000,Highest rated
"MERN Stack ECommerce App - React,Redux,Node,Express,Mongo DB",Build a Complete MERN Stack Ecommerce application from scratch and deploy to Heroku,K.Sathyaprakash Reddy,4.9,24,15 total hours,67,Intermediate,149000,Highest rated
Build Real World Websites with HTML5 CSS3 And JavaScript,"Learn to build responsive real world websites using HTML, CSS and JavaScript - Animations, Hover Efects, Dark mode",Gowtham Tirri,4.9,7,4.5 total hours,11,All Levels,149000,-
Blogging Website With Wordpress & Elementor + Blog Guide,Build professional Blogging Website For FREE using Wordpress & Elementor + Build Affiliate Deals Promos + Blog Guide,Being Commerce,4.9,7,3.5 total hours,23,All Levels,149000,-
School Management System - Build With PHP CodeIgniter Part 2,"This is the only course on this platform where school website, computer based test, chat application is fully developed",Olawuyi Segun Orisunola,4.9,84,13.5 total hours,133,All Levels,149000,Bestseller
Getting Started with React using Hooks and REST API,"Learn how to use React, Function and Class Components, Props, State Hook, Callback Hook, Effect Hook, Fetch and Promises",Eric Greene,4.9,137,5.5 total hours,21,All Levels,149000,-
"Advanced Responsive Website Design: HTML, CSS, & Bootstrap","Learn to build professional Website Templates from scratch using the Bootstrap framework, with no steps skipped!",Drew Ryan,4.9,913,8 total hours,66,All Levels,149000,-
Learn HTML in a Weekend,"Learn Web Development in HTML and CSS, two pillars of web dev",Greg Lafrance,4.9,191,6 total hours,45,Beginner,149000,-
"HTML, CSS and Bootstrap Practice Exams",Take HTML & CSS & Bootstrap Practice Exams for Certification and Interviews,Ahmed Magdy,4.9,8,-,-,Intermediate,149000,-
"Angular 12, .NET Core Web API & PostgreSQL full-stack app","learn to create a full stack web application from scratch using Postgre SQL, .NET Core Web API and Angular 12",Vinay Kumar,4.9,7,1 total hour,21,Beginner,149000,New
WordPress Plugin Development using Boilerplate,"Learn professional WordPress Plugin development in project based course. Learn how to do it the faster, smarter, easier!",Rao Abid Ali,4.9,67,12.5 total hours,101,All Levels,279000,-
HTML5 & CSS3 Site Design,Take the confusion and murkiness out of the fundamentals!,Stone River eLearning,4.9,47,6 total hours,62,Beginner,149000,Highest rated
The Complete Object Oriented PHP Developer Course,Your fast-track to becoming a professional PHP developer.,Gary Clarke,4.9,15,8 total hours,59,All Levels,149000,-
Laravel React CRUD Application,Laravel React,Roman Granskyy,4.9,2,3 total hours,51,Beginner,149000,-
React JS Masterclass,"Learn and Earn with React JS including Axios, Redux and Hooks",SoftTech Academy,4.9,2,4 total hours,38,Beginner,149000,-
GraphQL from Scratch - Realtime MERN Stack with React Node,Learn GraphQL from Scratch with MERN Stack (Mongo Express React Node) and Firebase to build Truly Realtime Web Apps,Ryan Dhungel,4.9,90,19.5 total hours,139,All Levels,149000,Highest rated
Dynamic HTML (DOM) with easy modern JavaScript,"Learn the Document Object Model fundamentals by building an interactive game with plain HTML, DOM and modern JavaScript.",Juan Lizarazo,4.9,12,7.5 total hours,101,All Levels,149000,-
JavaScript Data Pagination Code JavaScript ES6 Project Code,Explore how you can create dynamic pagination for data pages using JavaScript. Create clickable links to more content,Laurence Svekis,4.9,7,1 total hour,21,Beginner,149000,-
"Create an online casino website by mysql,php and javascript","how to create an online casino using html, css , php , javscript",mohamad gharishvandi,4.9,5,11 total hours,87,All Levels,149000,-
"JSF - Learn how to deploy, add security and more","A guide on how to apply security to applications, deploy in real life scenarios, and create custom UIComponents",Esteban Rincon,4.9,6,3 total hours,13,All Levels,149000,-
Complete Wordpress Elementor course || GET CERTIFICATE.,Create a Professional Website using Elementor. Learn from beginner to advance and became a Pro Elementor Developer.,Easy Learning Academy,4.9,11,1.5 total hours,18,Beginner,149000,-
Full Stack Web Development tutorial For Beginners 2021,"The only course you should learn to be a complete developer using latest web technologies like html,css,JQuery,PHP,SQL",Manish kumar,4.9,117,6 total hours,22,Beginner,149000,-
